a= YearsExperience,b= Salary,Y=Salary(Predicted),Residual Error,Absolute Error,Square of Error,b-B =DIFFERENCE(SALARY),a-A =DIFFERENCE(yoe),(a-A)*(b-B)product,,B= MEAN(salary),76003
1.1,39343,37096.6,2246.4,2246.4,5046312.96,-36660,-4.213333333,154460.8,,A= MEAN(yoe),5.313333333
1.3,46205,38965.8,7239.2,7239.2,52406016.64,-29798,-4.013333333,119589.3067,,M(INTERCEPT)SLOPE,9346
1.5,37731,40835,-3104,3104,9634816,-38272,-3.813333333,145943.8933,,C(COEFFICIENT),26816
2,43525,45508,-1983,1983,3932289,-32478,-3.313333333,107610.44,,,
2.2,39891,47377.2,-7486.2,7486.2,56043190.44,-36112,-3.113333333,112428.6933,,MAE,4682.346667
2.9,56642,53919.4,2722.6,2722.6,7412550.76,-19361,-2.413333333,46724.54667,,MSE,31577325.49
3,60150,54854,5296,5296,28047616,-15853,-2.313333333,36673.27333,,RMSE,5619.37056
3.2,54445,56723.2,-2278.2,2278.2,5190195.24,-21558,-2.113333333,45559.24,,COVARIANCE,73569.42667
3.2,64445,56723.2,7721.8,7721.8,59626195.24,-11558,-2.113333333,24425.90667,,,
3.7,57189,61396.2,-4207.2,4207.2,17700531.84,-18814,-1.613333333,30353.25333,,,
3.9,63218,63265.4,-47.4,47.4,2246.76,-12785,-1.413333333,18069.46667,,,
4,55794,64200,-8406,8406,70660836,-20209,-1.313333333,26541.15333,,,
4,56957,64200,-7243,7243,52461049,-19046,-1.313333333,25013.74667,,,
4.1,57081,65134.6,-8053.6,8053.6,64860472.96,-18922,-1.213333333,22958.69333,,,
4.5,61111,68873,-7762,7762,60248644,-14892,-0.813333333,12112.16,,,
4.9,67938,72611.4,-4673.4,4673.4,21840667.56,-8065,-0.413333333,3333.533333,,,
5.1,66029,74480.6,-8451.6,8451.6,71429542.56,-9974,-0.213333333,2127.786667,,,
5.3,83088,76349.8,6738.2,6738.2,45403339.24,7085,-0.013333333,-94.46666667,,,
5.9,81363,81957.4,-594.4,594.4,353311.36,5360,0.586666667,3144.533333,,,
6,93940,82892,11048,11048,122058304,17937,0.686666667,12316.74,,,
6.8,91738,90368.8,1369.2,1369.2,1874708.64,15735,1.486666667,23392.7,,,
7.1,98273,93172.6,5100.4,5100.4,26014080.16,22270,1.786666667,39789.06667,,,
7.9,101302,100649.4,652.6,652.6,425886.76,25299,2.586666667,65440.08,,,
8.2,113812,103453.2,10358.8,10358.8,107304737.4,37809,2.886666667,109141.98,,,
8.7,109431,108126.2,1304.8,1304.8,1702503.04,33428,3.386666667,113209.4933,,,
9,105582,110930,-5348,5348,28601104,29579,3.686666667,109047.9133,,,
9.5,116969,115603,1366,1366,1865956,40966,4.186666667,171510.9867,,,
9.6,112635,116537.6,-3902.6,3902.6,15230286.76,36632,4.286666667,157029.1733,,,
10.3,122391,123079.8,-688.8,688.8,474445.44,46388,4.986666667,231321.4933,,,
10.5,121872,124949,-3077,3077,9467929,45869,5.186666667,237907.2133,,,
,,,,,,,average of product=covar,73569.42667,,,
,,,MAE,4682.346667,,,,,,,
,,,MSE,31577325.49,,,,,,,
,,,RMSE,5619.37056,,,,,,,
,,,COVARIANCE,73569.42667,,,,,,,
